carrier,name,ambulance,application_fee,baby_care,brand_drugs,chiropractic,coinsurance,deductible,emergency_room,generic_drugs,hospitalization,hsa_eligible,labor,lifetime_maximum,mail_order_drugs,mental_health,obgyn_exam,oon_authorization,oon_coinsurance,oon_coverage,oon_deductible,oon_oop_limit,oop_limit,out_of_country,pcp_required,pcp_visit,periodic_exam,plan_type,prenatal_office_visit,separate_rx_deductible,specialist_referrals_required,specialist_visit,specialty_drugs,substance_abuse,surgery,urgent_care,xray
Aetna,CA Bronze PrimeCare HMO Deductible 5500,$150 copay/trip,None,No charge,$150,"$15 copay/visit, deductible waived  and Acupuncture",50%,"$5,500 individual / 11000 family",50% coinsurance,$75,50% coinsurance,No,50% coinsurance,None,"","$50 copay/visit, deductible waived",No charge,"",None,No,None,None,"$6,600 individual / 13200 family",Emergency Coverage Only,Yes,"$50 copay/visit, deductible waived",No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,"$75 copay/visit, deductible waived",30%,"$50 copay/visit, deductible waived",50% coinsurance,"$50 copay/visit, deductible waived","Minor: $75 copay/visit, deductible waived; Major: $500 copay/visit, deductible waived"
Aetna,CA Bronze PrimeCare MC 3500 50/50,50% coinsurance,None,No charge,$100,50% coinsurance  and Acupuncture,50%,"$3,500 individual / 7000 family",50% coinsurance,$50,50% coinsurance,No,50% coinsurance,None,"",50% coinsurance,No charge,"",N/A,Yes,"$7,000 individual / 14000 family","$12,700 individual / 25400 family","$6,600 individual / 13200 family",Emergency Coverage Only,Yes,50% coinsurance,No charge,POS,Prenatal: No charge after deductible; Postnatal: 50% coinsurance,Medical Deductible Applies,Yes,50% coinsurance,50%,50% coinsurance,50% coinsurance,50% coinsurance,Minor: 50% coinsurance; Major: 50% coinsurance
Aetna,CA Bronze PrimeCare MC 6600 100/50,0% coinsurance,None,No charge,0%,"0% coinsurance ; $25 copay/visit, deductible waived for Acupuncture",0%,"$6,600 individual / 13200 family",0% coinsurance,0%,0% coinsurance,No,0% coinsurance,None,"","$75 copay/visit, deductible waived",No charge,"",N/A,Yes,"$13,200 individual / 26400 family","$16,500 individual / 33000 family","$6,600 individual / 13200 family",Emergency Coverage Only,Yes,"$25 copay/visit, deductible waived",No charge,POS,Prenatal: No charge after deductible; Postnatal: 0% coinsurance,Medical Deductible Applies,Yes,"$75 copay/visit, deductible waived",0%,"$75 copay/visit, deductible waived",0% coinsurance,"$50 copay/visit, deductible waived","Minor: $150 copay/visit, deductible waived; Major: 0% coinsurance"
Aetna,CA Bronze PrimeCare MC HSA 3500 70/50,30% coinsurance,None,No charge,50%,30% coinsurance  and Acupuncture,30%,"$3,500 individual / 7000 family",30% coinsurance,$40 after deductible,30% coinsurance,Yes,30% coinsurance,None,"",30% coinsurance,No charge,"",N/A,Yes,"$7,000 individual / 14000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,30% coinsurance,No charge,POS,Prenatal: No charge after deductible; Postnatal: 30% coinsurance,Medical Deductible Applies,Yes,30% coinsurance,30%,30% coinsurance,30% coinsurance,30% coinsurance,Minor: 30% coinsurance; Major: 30% coinsurance
Aetna,CA Bronze PrimeCare MC HSA 6300 100/50,0% coinsurance,None,No charge,0%,0% coinsurance  and Acupuncture,0%,"$6,300 individual / 12600 family",0% coinsurance,0%,0% coinsurance,Yes,0% coinsurance,None,"",0% coinsurance,No charge,"",N/A,Yes,"$12,600 individual / 25200 family","$15,750 individual / 31500 family","$6,300 individual / 12600 family",Emergency Coverage Only,Yes,0% coinsurance,No charge,POS,Prenatal: No charge after deductible; Postnatal: 0% coinsurance,Medical Deductible Applies,Yes,0% coinsurance,0%,0% coinsurance,0% coinsurance,0% coinsurance,Minor: 0% coinsurance; Major: 0% coinsurance
Aetna,CA Bronze Savings Plus 3500 50/50,50% coinsurance,None,No charge,$100,50% coinsurance  and Acupuncture,50%,"$3,500 individual / 7000 family",50% coinsurance,$50,50% coinsurance,No,50% coinsurance,None,"",50% coinsurance,No charge,"",N/A,Yes,"$7,000 individual / 14000 family","$12,700 individual / 25400 family","$6,600 individual / 13200 family",Emergency Coverage Only,Yes,50% coinsurance,No charge,POS,Prenatal: No charge after deductible; Postnatal: 50% coinsurance,Medical Deductible Applies,Yes,50% coinsurance,50%,50% coinsurance,50% coinsurance,50% coinsurance,Minor: 50% coinsurance; Major: 50% coinsurance
Aetna,CA Bronze Savings Plus 4000 Copay Plan,$200 copay per trip,None,No charge,$150,"$50 copay/visit ; $50 copay/visit, deductible waived for Acupuncture",0%,"$4,000 individual / 8000 family",$500 copay/visit,$100,$750 copay per admission,No,$750 copay per admission,None,"","$75 copay/visit, deductible waived",No charge,"",N/A,Yes,"$8,000 individual / 16000 family","$12,700 individual / 25400 family","$6,600 individual / 13200 family",Emergency Coverage Only,Yes,"$50 copay/visit, deductible waived",No charge,POS,Prenatal: No charge after deductible; Postnatal: 0% coinsurance,Medical Deductible Applies,Yes,$75 copay/visit,30%,"$75 copay/visit, deductible waived",0% coinsurance,"$50 copay/visit, deductible waived",Minor: $125 copay/visit; Major: $500 copay/visit
Aetna,CA Bronze Savings Plus 6600 100/50,0% coinsurance,None,No charge,0%,"0% coinsurance ; $25 copay/visit, deductible waived for Acupuncture",0%,"$6,600 individual / 13200 family",0% coinsurance,0%,0% coinsurance,No,0% coinsurance,None,"","$75 copay/visit, deductible waived",No charge,"",N/A,Yes,"$13,200 individual / 26400 family","$16,500 individual / 33000 family","$6,600 individual / 13200 family",Emergency Coverage Only,Yes,"$25 copay/visit, deductible waived",No charge,POS,Prenatal: No charge after deductible; Postnatal: 0% coinsurance,Medical Deductible Applies,Yes,"$75 copay/visit, deductible waived",0%,"$75 copay/visit, deductible waived",0% coinsurance,"$50 copay/visit, deductible waived","Minor: $150 copay/visit, deductible waived; Major: 0% coinsurance"
Aetna,CA Bronze Savings Plus HSA 2500 50/50,50% coinsurance,None,No charge,50%,50% coinsurance  and Acupuncture,50%,"$2,500 individual / 5000 family",50% coinsurance,50%,50% coinsurance,Yes,50% coinsurance,None,"",50% coinsurance,No charge,"",N/A,Yes,"$5,000 individual / 10000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,50% coinsurance,No charge,POS,Prenatal: No charge after deductible; Postnatal: 50% coinsurance,Medical Deductible Applies,Yes,50% coinsurance,30%,50% coinsurance,50% coinsurance,50% coinsurance,Minor: 50% coinsurance; Major: 50% coinsurance
Aetna,CA Bronze Savings Plus HSA 3500 70/50,30% coinsurance,None,No charge,$100 after deductible,30% coinsurance  and Acupuncture,30%,"$3,500 individual / 7000 family",30% coinsurance,$40 after deductible,30% coinsurance,Yes,30% coinsurance,None,"",30% coinsurance,No charge,"",N/A,Yes,"$7,000 individual / 14000 family","$12,700 individual / 25400 family","$6,350 individual / 12700 family",Emergency Coverage Only,Yes,30% coinsurance,No charge,POS,Prenatal: No charge after deductible; Postnatal: 30% coinsurance,Medical Deductible Applies,Yes,30% coinsurance,30%,30% coinsurance,30% coinsurance,30% coinsurance,Minor: 30% coinsurance; Major: 30% coinsurance
Aetna,CA Bronze Savings Plus HSA 6300 100/50,0% coinsurance,None,No charge,0%,0% coinsurance  and Acupuncture,0%,"$6,300 individual / 12600 family",0% coinsurance,0%,0% coinsurance,Yes,0% coinsurance,None,"",0% coinsurance,No charge,"",N/A,Yes,"$12,600 individual / 25200 family","$15,750 individual / 31500 family","$6,300 individual / 12600 family",Emergency Coverage Only,Yes,0% coinsurance,No charge,POS,Prenatal: No charge after deductible; Postnatal: 0% coinsurance,Medical Deductible Applies,Yes,0% coinsurance,0%,0% coinsurance,0% coinsurance,0% coinsurance,Minor: 0% coinsurance; Major: 0% coinsurance
Aetna,CA Bronze Savings Plus Plan,$300 copay per trip,None,No charge,$75,$60 copay/visit for Acupuncture,30%,"$5,000 individual / 10000 family",$300 copay/visit,$50,30% coinsurance,No,30% coinsurance,None,"","$60 copay/visit, deductible waived for visits 1-3; $60 copay/visit thereafter",No charge,"",N/A,Yes,"$10,000 individual / 20000 family","$12,500 individual / 25000 family","$6,250 individual / 12500 family",Emergency Coverage Only,Yes,"$60 copay/visit, deductible waived for visits 1-3; $60 copay/visit thereafter",No charge,POS,Prenatal: No charge after deductible; Postnatal: 30% coinsurance,Medical Deductible Applies,Yes,$70 copay/visit,30%,"$60 copay/visit, deductible waived for visits 1-3; $60 copay/visit thereafter",30% coinsurance,"$120 copay/visit, deductible waived for visits 1-3; $120 copay/visit thereafter",Minor: 30% coinsurance; Major: 30% coinsurance
Aetna,CA Gold AVN HMO 10,$150 copay per trip,None,No charge,$100,$15 copay/visit  and Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$750 copay per admission,No,$750 copay per admission,None,"",$30 copay/visit,No charge,"",None,No,None,None,"$4,000 individual / 8000 family",Emergency Coverage Only,Yes,$10 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$30 copay/visit,30%,$30 copay/visit,No charge after deductible,$50 copay/visit,Minor: $30 copay/visit; Major: $250 copay/visit
Aetna,CA Gold AVN HMO 20,$150 copay per trip,None,No charge,$100,$15 copay/visit  and Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$750 copay per admission,No,$750 copay per admission,None,"",$60 copay/visit,No charge,"",None,No,None,None,"$5,000 individual / 10000 family",Emergency Coverage Only,Yes,$20 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$60 copay/visit,30%,$60 copay/visit,No charge after deductible,$50 copay/visit,Minor: $60 copay/visit; Major: $250 copay/visit
Aetna,CA Gold AVN HMO 30,$150 copay/trip,None,No charge,$100,$15 copay/visit  and Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$500 copay/day for the first 5 days per admission,No,$500 copay/day for the first 5 days per admission,None,"",$60 copay/visit,No charge,"",None,No,None,None,"$5,500 individual / 11000 family",Emergency Coverage Only,Yes,$30 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$60 copay/visit,30%,$60 copay/visit,No charge after deductible,$50 copay/visit,Minor: $30 copay/visit; Major: $250 copay/visit
Aetna,CA Gold AVN HMO Copay Plan,$250 copay per trip,None,No charge,$70,$15 copay/visit for Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$600 copay per day for the first 5 days per admission,No,$600 copay per day for the first 5 days per admission,None,"",$50 copay/visit,No charge,"",None,No,None,None,"$6,250 individual / 12500 family",Emergency Coverage Only,Yes,$30 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$50 copay/visit,20%,$50 copay/visit,No charge after deductible,$60 copay/visit,Minor: $50 copay/visit; Major: $250 copay/visit
Aetna,CA Gold Basic HMO 10,$150 copay per trip,None,No charge,$100,$15 copay/visit  and Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$750 copay per admission,No,$750 copay per admission,None,"",$30 copay/visit,No charge,"",None,No,None,None,"$4,000 individual / 8000 family",Emergency Coverage Only,Yes,$10 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$30 copay/visit,30%,$30 copay/visit,No charge after deductible,$50 copay/visit,Minor: $30 copay/visit; Major: $250 copay/visit
Aetna,CA Gold Basic HMO 20,$150 copay per trip,None,No charge,$100,$15 copay/visit  and Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$750 copay per admission,No,$750 copay per admission,None,"",$60 copay/visit,No charge,"",None,No,None,None,"$5,000 individual / 10000 family",Emergency Coverage Only,Yes,$20 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$60 copay/visit,30%,$60 copay/visit,No charge after deductible,$50 copay/visit,Minor: $60 copay/visit; Major: $250 copay/visit
Aetna,CA Gold Basic HMO 30,$150 copay/trip,None,No charge,$100,$15 copay/visit  and Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$500 copay/day for the first 5 days per admission,No,$500 copay/day for the first 5 days per admission,None,"",$60 copay/visit,No charge,"",None,No,None,None,"$5,500 individual / 11000 family",Emergency Coverage Only,Yes,$30 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$60 copay/visit,30%,$60 copay/visit,No charge after deductible,$50 copay/visit,Minor: $30 copay/visit; Major: $250 copay/visit
Aetna,CA Gold Basic HMO Copay Plan,$250 copay per trip,None,No charge,$70,$15 copay/visit for Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$600 copay per day for the first 5 days per admission,No,$600 copay per day for the first 5 days per admission,None,"",$30 copay/visit,No charge,"",None,No,None,None,"$6,250 individual / 12500 family",Emergency Coverage Only,Yes,$30 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$50 copay/visit,20%,$30 copay/visit,No charge after deductible,$60 copay/visit,Minor: $50 copay/visit; Major: $250 copay/visit
Aetna,CA Gold HMO 10,$150 copay per trip,None,No charge,$100,$15 copay/visit  and Acupuncture,0%,$0 Individual / $0 Family,$250 copay/visit,$50,$750 copay per admission,No,$750 copay per admission,None,"",$30 copay/visit,No charge,"",None,No,None,None,"$4,000 individual / 8000 family",Emergency Coverage Only,Yes,$10 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$30 copay/visit,30%,$30 copay/visit,No charge after deductible,$50 copay/visit,Minor: $30 copay/visit; Major: $250 copay/visit
Aetna,CA Gold HMO 20,$150 copay per trip,None,No charge,$100,$15 copay/visit  and Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$750 copay per admission,No,$750 copay per admission,None,"",$60 copay/visit,No charge,"",None,No,None,None,"$5,000 individual / 10000 family",Emergency Coverage Only,Yes,$20 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$60 copay/visit,30%,$60 copay/visit,No charge after deductible,$50 copay/visit,Minor: $60 copay/visit; Major: $250 copay/visit
Aetna,CA Gold HMO 30,$150 copay/trip,None,No charge,$100,$15 copay/visit  and Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$500 copay/day for the first 5 days per admission,No,$500 copay/day for the first 5 days per admission,None,"",$60 copay/visit,No charge,"",None,No,None,None,"$5,500 individual / 11000 family",Emergency Coverage Only,Yes,$30 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$60 copay/visit,30%,$60 copay/visit,No charge after deductible,$50 copay/visit,Minor: $30 copay/visit; Major: $250 copay/visit
Aetna,CA Gold HMO Copay Plan,$250 copay per trip,None,No charge,$70,$15 copay/visit for Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$600 copay per day for the first 5 days per admission,No,$600 copay per day for the first 5 days per admission,None,"",$30 copay/visit,No charge,"",None,No,None,None,"$6,250 individual / 12500 family",Emergency Coverage Only,Yes,$30 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$50 copay/visit,20%,$30 copay/visit,No charge after deductible,$60 copay/visit,Minor: $50 copay/visit; Major: $250 copay/visit
Aetna,CA Gold MC 500 80/50,20% coinsurance,None,No charge,$100,"20% coinsurance ; $35 copay/visit, deductible waived for acupuncture",20%,$500 individual / 1000 family,20% coinsurance,$50,20% coinsurance,No,20% coinsurance,None,"","Outpatient office visits:$35 copay/visit, deductible waived; All other outpatient services: No charge",No charge,"",N/A,Yes,"$1,000 individual / 2000 family","$9,000 individual / 18000 family","$4,500 individual / 9000 family",Emergency Coverage Only,Yes,"$35 copay/visit, deductible waived",No charge,POS,No charge after deductible,None,Yes,"$35 copay/visit, deductible waived",30%,"Outpatient office visits:$35 copay/visit, deductible waived; All other outpatient services: No charge",30% coinsurance forhospital facility; 20% coinsurance for free standing facility,"$50 copay/visit, deductible waived",Minor: 20% coinsurance; Major: 20% coinsurance
Aetna,CA Gold MC Copay Plan,$250 copay/trip,None,No charge,$70,$30 copay/visit for acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$600 copay/day for the first 5 days per admission,No,$600 copay/day for the first 5 days per admission,None,"",$30 copay/visit,No charge,"",N/A,Yes,"$1,000 individual / 2000 family","$12,500 individual / 25000 family","$6,250 individual / 12500 family",Emergency Coverage Only,Yes,$30 copay/visit,No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,$50 copay/visit,20%,$30 copay/visit,No charge after deductible,$60 copay/visit,Minor: $50 copay/visit; Major: $250 copay/visit
Aetna,CA Gold PPO 750 80/50,20% coinsurance,None,No charge,$100,"20% coinsurance ; $20 copay/visit, deductible waived for acupuncture",20%,$750 individual / 1500 family,20% coinsurance,$50,20% coinsurance,No,20% coinsurance,None,"","Outpatient office visits:$40 copay/visit, deductible waived; All other outpatient services: No charge",No charge,"",N/A,Yes,"$1,500 individual / 3000 family","$10,000 individual / 20000 family","$5,000 individual / 10000 family",Emergency Coverage Only,No,"$20 copay/visit, deductible waived",No charge,PPO,No charge after deductible,None,No,"$40 copay/visit, deductible waived",30%,"Outpatient office visits:$40 copay/visit, deductible waived; All other outpatient services: No charge",30% coinsurance forhospital facility; 20% coinsurance for free standing facility,"$50 copay/visit, deductible waived",Minor: 20% coinsurance; Major: 20% coinsurance
Aetna,CA Gold PrimeCare HMO 10,$150 copay per trip,None,No charge,$100,$15 copay/visit  and Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$750 copay per admission,No,$750 copay per admission,None,"",$30 copay/visit,No charge,"",None,No,None,None,"$4,000 individual / 8000 family",Emergency Coverage Only,Yes,$10 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$30 copay/visit,30%,$30 copay/visit,No charge after deductible,$50 copay/visit,Minor: $30 copay/visit; Major: $250 copay/visit
Aetna,CA Gold PrimeCare HMO 30,$150 copay/trip,None,No charge,$100,$15 copay/visit  and Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$500 copay/day for the first 5 days per admission,No,$500 copay/day for the first 5 days per admission,None,"",$60 copay/visit,No charge,"",None,No,None,None,"$5,500 individual / 11000 family",Emergency Coverage Only,Yes,$30 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$60 copay/visit,30%,$60 copay/visit,No charge after deductible,$50 copay/visit,Minor: $30 copay/visit; Major: $250 copay/visit
Aetna,CA Gold Savings Plus 500 80/50,20% coinsurance,None,No charge,$100,"20% coinsurance ; $35 copay/visit, deductible waived for Acupuncture",20%,$500 individual / 1000 family,20% coinsurance,$50,20% coinsurance,No,20% coinsurance,None,"","$35 copay/visit, deductible waived",No charge,"",N/A,Yes,"$1,000 individual / 2000 family","$9,000 individual / 18000 family","$4,500 individual / 9000 family",Emergency Coverage Only,Yes,"$35 copay/visit, deductible waived",No charge,POS,Prenatal: No charge after deductible; Postnatal: 20% coinsurance,None,Yes,"$35 copay/visit, deductible waived",30%,"$35 copay/visit, deductible waived",20% coinsurance,"$50 copay/visit, deductible waived",Minor: 20% coinsurance; Major: 20% coinsurance
Aetna,CA Gold Savings Plus Copay Plan,$250 copay per trip,None,No charge,$70,$30 copay/visit for Acupuncture,0%,$0 individual / $0 family,$250 copay/visit,$50,$600 copay per day for the first 5 days per admission,No,$600 copay per day for the first 5 days per admission,None,"",$30 copay/visit,No charge,"",N/A,Yes,"$1,000 individual / 2000 family","$12,500 individual / 25000 family","$6,250 individual / 12500 family",Emergency Coverage Only,Yes,$30 copay/visit,No charge,POS,No charge after deductible,Medical Deductible Applies,Yes,$50 copay/visit,20%,$30 copay/visit,No charge after deductible,$60 copay/visit,Minor: $50 copay/visit; Major: $250 copay/visit
Aetna,CA Platinum AVN HMO Copay Plan,$150 copay per trip,None,No charge,$25,$15 copay/visit for Acupuncture,0%,$0 individual / $0 family,$150 copay/visit,$15,$250 copay per day for the first 5 days per admission,No,$250 copay per day for the first 5 days per admission,None,"",$20 copay/visit,No charge,"",None,No,None,None,"$4,000 individual / 8000 family",Emergency Coverage Only,Yes,$20 copay/visit,No charge,HMO,No charge after deductible,Medical Deductible Applies,Yes,$40 copay/visit,10%,$20 copay/visit,No charge after deductible,$40 copay/visit,Minor: $40 copay/visit; Major: $150 copay/visit
